H2H will be built from this league lineage:
  • 2020: NFL UK 2020 [399.l.857293]
  • 2021: NFL UK 2021/22 [406.l.787594]
  • 2022: NFL UK 2022/23 [414.l.336160]
  • 2023: NFL UK 2022/23 [423.l.39167]
  • 2024: Can anyone stop the 3-peat? [449.l.66930]
  • 2025: Kyle Pitts Breakout Season [461.l.54130]
  · 2020: weeks 1–16 (NFL UK 2020)
2021 w17: Andrew S vs Jack E -> WINNER Andrew S  (playoffs=True, cons=True)
  · 2022: weeks 1–17 (NFL UK 2022/23)
2022 w1: Ben H vs Jamie L -> TIE  (playoffs=False, cons=False)
2022 w1: Andrew S vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2022 w1: Colin C vs Jack C -> WINNER Colin C  (playoffs=False, cons=False)
2022 w1: Chris S vs Jake -> WINNER Chris S  (playoffs=False, cons=False)
2022 w1: Jack E vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2022 w1: Graham S vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w2: Jake vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w2: Chris S vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2022 w2: Andrew S vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2022 w2: Graham S vs Jack C -> WINNER Graham S  (playoffs=False, cons=False)
2022 w2: Ben H vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2022 w2: Kevin G vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2022 w3: Conor H vs Jamie L -> WINNER Conor H  (playoffs=False, cons=False)
2022 w3: Chris S vs Colin C -> WINNER Chris S  (playoffs=False, cons=False)
2022 w3: Jack E vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2022 w3: Andrew S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w3: Ben H vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w3: Graham S vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2022 w4: Colin C vs Jamie L -> WINNER Colin C  (playoffs=False, cons=False)
2022 w4: Conor H vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2022 w4: Jake vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w4: Chris S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w4: Ben H vs Simon L -> WINNER Ben H  (playoffs=False, cons=False)
2022 w4: Andrew S vs Graham S -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w5: Jack C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w5: Conor H vs Kevin G -> WINNER Conor H  (playoffs=False, cons=False)
2022 w5: Colin C vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2022 w5: Jake vs Simon L -> WINNER Jake  (playoffs=False, cons=False)
2022 w5: Ben H vs Graham S -> WINNER Ben H  (playoffs=False, cons=False)
2022 w5: Andrew S vs Chris S -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w6: Andrew S vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w6: Conor H vs Simon L -> WINNER Conor H  (playoffs=False, cons=False)
2022 w6: Colin C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w6: Ben H vs Jake -> WINNER Ben H  (playoffs=False, cons=False)
2022 w6: Jack C vs Jack E -> WINNER Jack C  (playoffs=False, cons=False)
2022 w6: Chris S vs Graham S -> WINNER Chris S  (playoffs=False, cons=False)
2022 w7: Chris S vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w7: Ben H vs Conor H -> WINNER Ben H  (playoffs=False, cons=False)
2022 w7: Colin C vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2022 w7: Graham S vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2022 w7: Jack C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w7: Andrew S vs Jack E -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w8: Graham S vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w8: Conor H vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2022 w8: Ben H vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2022 w8: Jack C vs Simon L -> WINNER Jack C  (playoffs=False, cons=False)
2022 w8: Chris S vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2022 w8: Andrew S vs Kevin G -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w9: Jack E vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2022 w9: Conor H vs Graham S -> WINNER Graham S  (playoffs=False, cons=False)
2022 w9: Colin C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2022 w9: Ben H vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2022 w9: Chris S vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w9: Andrew S vs Simon L -> WINNER Andrew S  (playoffs=False, cons=False)
2022 w10: Jamie L vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2022 w10: Colin C vs Conor H -> WINNER Colin C  (playoffs=False, cons=False)
2022 w10: Jack C vs Jake -> WINNER Jack C  (playoffs=False, cons=False)
2022 w10: Graham S vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2022 w10: Chris S vs Simon L -> WINNER Chris S  (playoffs=False, cons=False)
2022 w10: Andrew S vs Ben H -> WINNER Andrew S  (playoffs=False, cons=False)
