season,date,type,player,position,nfl,from_team,to_team,note
2025,"Sep 10, 3:42 am",add,Kendre Miller,RB,NO,Waivers,Drake it til you make it,Waiver
2025,"Sep 10, 3:42 am",add,Michael Penix Jr.,QB,Atl,Waivers,Dak to the Future,Waiver
2025,"Sep 10, 3:42 am",add,Quentin Johnston,WR,LAC,Waivers,Grease the Breece,Waiver
2025,"Sep 10, 3:42 am",add,Seattle,DEF,Sea,Waivers,Whole lotta Hurts,Waiver
2025,"Sep 10, 3:42 am",add,Zach Ertz,TE,Was,Waivers,My Ball Zach Ertz,Waiver
2025,"Sep 10, 5:11 pm",add,Harold Fannin Jr.,TE,Cle,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Sep 10, 5:58 am",add,Pat Freiermuth,TE,Pit,Free Agent,The Flea Flickers,Free Agent
2025,"Sep 11, 5:00 pm",add,Darnell Mooney,WR,Atl,Free Agent,Never Starting Najee,Free Agent
2025,"Sep 12, 3:40 am",add,Daniel Jones,QB,Ind,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Sep 13, 3:12 am",add,Austin Ekeler,RB,Was,Free Agent,Never Starting Najee,Trade
2025,"Sep 13, 3:12 am",add,Hollywood Brown,WR,KC,Free Agent,Strength of Schedule 49ers,Trade
2025,"Sep 13, 3:40 am",add,Jake Ferguson,TE,Dal,Free Agent,The Flea Flickers,Free Agent
2025,"Sep 17, 3:32 am",add,Buffalo,DEF,Buf,Waivers,Strength of Schedule 49ers,Waiver
2025,"Sep 17, 3:32 am",add,Cam Skattebo,RB,NYG,Waivers,Whole lotta Hurts,Waiver
2025,"Sep 17, 3:32 am",add,Cooper Kupp,WR,Sea,Waivers,San Franshelfo 49ers,Waiver
2025,"Sep 17, 3:32 am",add,Rachaad White,RB,TB,Waivers,Drake it til you make it,Waiver
2025,"Sep 17, 3:32 am",add,Rhamondre Stevenson,RB,NE,Waivers,Never Starting Najee,Waiver
2025,"Sep 17, 3:32 am",add,Troy Franklin,WR,Den,Waivers,My Ball Zach Ertz,Waiver
2025,"Sep 17, 3:32 am",add,Wan'Dale Robinson,WR,NYG,Waivers,Never Starting Najee,Waiver
2025,"Sep 17, 5:26 am",add,Atlanta,DEF,Atl,Free Agent,Never Starting Najee,Free Agent
2025,"Sep 17, 9:28 am",add,Matt Prater,K,Buf,Free Agent,San Franshelfo 49ers,Free Agent
2025,"Sep 18, 12:15 pm",add,Indianapolis,DEF,Ind,Free Agent,Belichick Daycare Centre,Free Agent
2025,"Sep 18, 4:39 pm",add,Geno Smith,QB,LV,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Sep 18, 7:57 am",add,Kareem Hunt,RB,KC,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Sep 19, 1:11 pm",add,Jake Browning,QB,Cin,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Sep 19, 1:50 pm",add,Tampa Bay,DEF,TB,Free Agent,Dak to the Future,Free Agent
2025,"Sep 2, 3:44 pm",add,Quinshon Judkins,RB,Cle,Free Agent,Dak to the Future,Free Agent
2025,"Sep 20, 4:53 pm",add,Kyle Monangai,RB,Chi,Free Agent,Dak to the Future,Free Agent
2025,"Sep 21, 9:57 am",add,New York,DEF,NYG,Free Agent,Grease the Breece,Free Agent
2025,"Sep 24, 12:24 pm",add,Chimere Dike,WR,Ten,Free Agent,Dak to the Future,Free Agent
2025,"Sep 24, 3:30 am",add,Blake Corum,RB,LAR,Waivers,Never Starting Najee,Waiver
2025,"Sep 24, 3:30 am",add,Chase McLaughlin,K,TB,Waivers,Whole lotta Hurts,Waiver
2025,"Sep 24, 3:30 am",add,Detroit,DEF,Det,Waivers,Never Starting Najee,Waiver
2025,"Sep 24, 3:30 am",add,Joey Slye,K,Ten,Waivers,San Franshelfo 49ers,Waiver
2025,"Sep 24, 3:30 am",add,KaVontae Turpin,WR,Dal,Waivers,Whole lotta Hurts,Waiver
2025,"Sep 24, 3:30 am",add,Luther Burden III,WR,Chi,Waivers,Dak to the Future,Waiver
2025,"Sep 24, 3:30 am",add,Miles Sanders,RB,Dal,Waivers,Drake it til you make it,Waiver
2025,"Sep 24, 3:30 am",add,Tory Horton,WR,Sea,Waivers,Strength of Schedule 49ers,Waiver
2025,"Sep 24, 3:30 am",add,Tre Tucker,WR,LV,Waivers,Belichick Daycare Centre,Waiver
2025,"Sep 24, 3:30 am",add,Woody Marks,RB,Hou,Waivers,Whole lotta Hurts,Waiver
2025,"Sep 24, 3:39 am",add,Los Angeles Chargers,DEF,LAC,Free Agent,Dak to the Future,Free Agent
2025,"Sep 24, 3:47 am",add,Kenneth Gainwell,RB,Pit,Free Agent,Drake it til you make it,Free Agent
2025,"Sep 25, 1:56 pm",add,Washington,DEF,Was,Free Agent,Grease the Breece,Free Agent
2025,"Sep 25, 2:33 am",add,Ollie Gordon II,RB,Mia,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Sep 25, 4:38 am",add,Tyquan Thornton,WR,KC,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Sep 26, 1:15 pm",add,Malik Washington,WR,Mia,Free Agent,Drake it til you make it,Free Agent
2025,"Sep 26, 1:54 pm",add,Marcus Mariota,QB,Was,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Sep 26, 2:39 am",add,Tua Tagovailoa,QB,Mia,Free Agent,The Flea Flickers,Free Agent
2025,"Sep 26, 4:32 am",add,Dallas Goedert,TE,Phi,Free Agent,Drake it til you make it,Free Agent
2025,"Sep 27, 3:12 am",add,Keon Coleman,WR,Buf,Waivers,Belichick Daycare Centre,Waiver
